學年度,學校代碼,學校名稱,縣市名稱,中文圖書收藏冊數(冊)-總類,中文圖書收藏冊數(冊)-哲學類,中文圖書收藏冊數(冊)-宗教類,中文圖書收藏冊數(冊)-科學類,中文圖書收藏冊數(冊)-應用科學類,中文圖書收藏冊數(冊)-社會科學類,中文圖書收藏冊數(冊)-史地類,中文圖書收藏冊數(冊)-語言文學類,中文圖書收藏冊數(冊)-藝術類,外文圖書收藏冊數(冊),期刊合訂本(未以圖書編目)(冊),線上資料庫(種),光碟及其他類型資料庫(種),電子期刊(種),電子書(種),視聽資料(件),圖書閱覽座位數(個),全年圖書(含視聽資料及其他館藏)借閱人次(人次),全年圖書(含視聽資料及其他館藏)借閱冊次(冊次),全年線上及光碟資料庫(含電子書及電子期刊)檢索(人次),報紙(種),中.日文期刊(種),西文期刊(種)
112,1077,慈濟科技大學,15 花蓮縣,6726,21922,11414,21891,74321,49360,20552,50159,16339,43653,10367,156,0,22551,23322,33611,655,16664,58704,65716,7,113,4
112,1078,致理科技大學,01 新北市,13975,15503,4716,27650,47379,62577,20366,56731,14263,40127,11638,167,2,39782,151625,15472,798,14104,39205,172040,6,1149,448
112,1079,康寧大學,30 臺北市,9282,18989,6246,27445,58845,52375,20306,55484,20927,37446,10438,67,0,10182,79304,26699,169,2470,19782,202309,2,164,15
112,1080,宏國德霖科技大學,01 新北市,5772,8119,3666,25996,56484,39545,10817,31908,11795,29384,18190,118,0,8339,126509,7609,562,11636,49195,148292,36,491,70
112,1081,東方設計大學,12 高雄市,15971,8603,4070,24256,44207,6392,46659,27788,24030,35761,0,61,0,0,98673,21028,450,707,3694,6294,2,223,12
112,1082,崇右影藝科技大學,17 基隆市,8134,9986,3857,11052,27348,33482,14498,33738,10995,15980,4057,29,0,1,23770,4952,128,170,348,73935,3,573,0
112,1083,台北海洋科技大學,01 新北市,12211,7143,2287,22209,39081,28198,17640,27176,16391,19465,18115,38,0,22480,34925,9253,420,9177,19930,112788,7,520,10
112,1084,亞東科技大學,01 新北市,20133,10883,2732,23079,52211,23190,14499,29684,17023,23327,28327,121,4,53840,222837,27018,755,7665,15837,250523,14,328,164
112,1125,中信金融管理學院,21 臺南市,5452,13446,6667,16156,37791,42793,14942,40810,10904,41629,5068,11,0,198,66773,3728,177,1053,2375,7400,0,3,0
112,1148,大漢技術學院,15 花蓮縣,5656,7728,2984,18130,39383,36353,13399,23849,7570,14594,5266,102,0,105,46210,5591,100,135,362,171133,1,83,0
112,1168,南亞技術學院,03 桃園市,8906,5708,3388,19864,43519,22135,9787,22872,15698,67607,43553,34,0,14622,13820,8150,693,1864,4068,434,16,146,2
112,1183,黎明技術學院,01 新北市,8346,11597,3891,22070,44526,20622,17240,31986,14797,27788,5243,50,0,11108,615974,11268,318,3730,7783,58091,10,194,6
112,1185,德育護理健康學院,17 基隆市,18676,13154,5104,8706,39076,27431,11491,38357,11957,21448,0,127,0,43430,675380,10699,234,2118,14039,296425,5,288,59
112,1188,大同技術學院,20 嘉義市,4832,14559,4424,13561,40211,34896,13018,34159,8189,12528,247,42,0,0,8567,12935,178,145,345,865,1,157,0
112,1195,馬偕醫學院,01 新北市,517,3385,1275,2598,11636,3928,2988,14150,2283,13375,518,28,56,13795,48422,1347,122,2478,12232,830609,2,0,0
112,1196,法鼓文理學院,01 新北市,7037,7666,46127,2496,4116,9786,12121,13753,5193,31703,10633,72,19,27915,116691,10773,313,2823,9593,40114,1,367,88
112,1282,馬偕醫護管理專科學校,30 臺北市,2443,9585,4842,11470,37454,22622,9813,31382,8288,26292,0,49,25,8473,94582,12935,630,5302,12395,47303,7,157,0
112,1283,仁德醫護管理專科學校,05 苗栗縣,2201,10296,3282,9968,30364,15675,7366,28005,5354,13180,2309,48,0,33775,23240,2868,178,6385,30426,106943,2,390,82
112,1284,樹人醫護管理專科學校,12 高雄市,2080,9742,3553,11733,27429,16173,9988,52324,9573,29364,0,35,0,73351,34351,6586,382,6334,26428,406230,4,93,0
112,1285,慈惠醫護管理專科學校,13 屏東縣,3385,14005,4318,10332,38544,19521,8391,31662,7653,14899,3197,21,0,38,16085,5096,660,3128,5318,367285,4,215,5
112,1286,耕莘健康管理專科學校,01 新北市,4930,9084,3446,9726,29357,14961,8309,26157,6550,19418,3325,26,0,215,142298,10430,838,11449,18918,904508,1,282,16
112,1287,敏惠醫護管理專科學校,11 臺南市,4231,7786,2541,7477,21753,15996,8500,23272,4374,7383,1184,49,1,7,23386,6318,238,4862,9656,342657,8,39,4
112,1289,育英醫護管理專科學校,50 高雄市,1280,5539,1545,3853,16318,7938,4349,14521,3385,10366,292,47,0,9,2358,6914,167,1003,2268,838019,1,101,0
112,1291,聖母醫護管理專科學校,02 宜蘭縣,3545,7819,2406,9646,31419,13940,8005,22582,7457,1469,1717,19,0,25,32518,2854,199,4152,13719,78594,3,91,1
112,1292,新生醫護管理專科學校,03 桃園市,2094,8236,2109,5876,22307,15752,8449,24087,5973,12352,239,29,0,70,86362,5397,136,3364,9334,300752,4,190,15
112,1293,崇仁醫護管理專科學校,10 嘉義縣,2952,8419,5068,7510,27129,13294,7517,23685,5202,11602,1198,24,0,3564,20410,8487,467,5264,14806,187870,4,128,10
112,3002,臺北市立大學,30 臺北市,62099,23644,5923,25559,30793,109254,34810,70807,30903,93135,29412,325,0,45691,510306,23634,1023,20475,51954,802113,14,332,11
